Contig_ID	MG100014_R2	MG100015_R2	MG100016_R2	MG100017_R2		MG100019_R2	MG100020_R2	MG100021_R2	MG100022_R2	MG100023_R2	MG100024_R2	MG100025_R2	MG100026_R2	MG100027_R2		MG100029_R2	MG100030_R2	MG100031_R2	MG100032_R2	MG100033_R2	MG100034_R2		MG100036_R2	
contig-100_0	0	7.56037	0	0		0	0	0	0	0	0	0	0	0		0	0	0.000852257	0	0	0		0	
contig-100_1	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	55.14	0.00106865	0.00106865		0.00213729	
contig-100_2	0.235704	0.00374134	0	0		0	0	0	5.17552	0	0.00124711	0	0	0		0	0	0	0	0	0		0	
contig-100_3	0	0	0	0		0	0	0	0	0	0	0	0	0.00379909		0	0	0	0.00126636	0	9.48886		0	
contig-100_4	0.0146619	0.239923	0.113297	0.78508		0.0226594	0.38121	0.182608	0.0199935	0.138622	0.166613	0.11463	1.71945	0.0426529		0.0906374	0.0359884	0.0333226	0.0106632	0.0359884	0.395872		0.135956	
contig-100_5	0.0058822	0	0	0		0	0.045587	0	0	0	0	0	0	0		0	0	0	0	0	0		11.9762	
contig-100_6	0	0.00668001	0.00167	0		0	0	0	0	0.00334	0	0	0	12.9926		0	0.00167	0	0	0	0		0	
contig-100_7	0	0	0	0		0	0	0	0.0368703	0	0	0	0	0		5.30195	0	0.0294962	0	0	0		0	
contig-100_8	0	0	2.15367	0		0	0	0	0	0	0	0	0	0		0	0	0	0	0	0		0	
contig-100_9	0.115808	0	0	0		0	0	0	0	0	10.1139	0	0	0		0.409617	0	0	0	0	0		0	
contig-100_10	0.115298	0.0108772	0.00435086	0		0	0	0	0	0.00870172	0	0	0	0		0.00435086	0	0.00435086	0	0	0.0282806		10.4421	
contig-100_11	0	0	0	0		0	0	0	0	0.00235831	0	0	1.85127	0		0	0	0	0	0	0		0	
contig-100_12	0	0	0	0		0	0	0.0141905	0	0	0	0.00236508	2.62761	0		0	0.00236508	0	0	0	0.0260159		0	
contig-100_13	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0	0	0		1.98844	
contig-100_14	0.0704213	0.0121416	0.00485664	0		0	0	0	0	0.00728496	0	0	0	0		0	0	0.00728496	0	0	0.0485664		10.619	
contig-100_15	0	0	0	0		0	0	0	0.126505	0	0	0	0	0		4.09462	0	0.00774518	0	0	0		0	
contig-100_16	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0	0	0		2.11501	
contig-100_17	0.041935	0.533173	0.239629	0.50322		0.0449303	0.811742	0.233638	0.00599071	0.227647	0.332485	0.116819	0.440317	0.0808746		0.12281	0.0688932	0.0718886	0.041935	0.0808746	0.688932		0.569118	
contig-100_18	0	0	0	0		0	0	0	0	0	0	0	0	4.98992		0	0	0	0	0	0		0	
contig-100_19	0	0	0	0		0	0	0	2.25864	0	0	0	0	0		0	0	0	0	0	0		0	
contig-100_20	0.050661	0	0	0		0.00316632	0	0	0	0	0	0	0	0.0284968		0.0126653	0.0158316	0	0	0.0569937	2.41906		0	
contig-100_21	0	0	0	0		0	0	0	0	0	0	0	0	0		0.00319876	0	9.73384	0	0	0		0	
contig-100_22	0	0	13.974	0		0	0	0	0	0	0	0	0	0		0	0	0	0	0	0		0	
contig-100_23	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0	10.1464	0		0.00327831	
contig-100_24	0.546673	0.00670765	0	0		0	0	0.00670765	0	0.275013	0	0	0.00335382	0		0	0	0.00335382	0	0	0.452766		1.66014	
contig-100_25	0	7.76657	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0	0	0		0	
contig-100_26	0.00347462	0	0	0		0	0	0	0	0	0	0	11.1674	0		0	0	0	0	0	0		0	
contig-100_27	0	0	0	0		0	0	0	0	0	7.09113	0	0	0		0.677675	0	0	0	0	0		0	
contig-100_28	0	0.0146581	0.219871	0		0.00732903	0.0476387	0.0109936	0.00366452	0.00366452	0	0	0	0		1.37053	0	0	0	0	0		0	
contig-100_29	0	0	0	0		0	5.27985	0	0	0	0	0	0	0.0221998		0	0	0	0	0	0		0	
contig-100_30	0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	3.80512	0	0		0	
