k101_585_flag=0_multi=160.2850_len=24241	ENA|CP000140|CP000140.1	81.354	1078	189	11	8446	9516	1435532	1434460	0.0	867
k101_585_flag=0_multi=160.2850_len=24241	ENA|CP000140|CP000140.1	87.647	170	14	7	9683	9848	962244	962410	8.08e-44	191
k101_585_flag=0_multi=160.2850_len=24241	ENA|CP000140|CP000140.1	95.495	111	4	1	9743	9852	1826526	1826636	2.26e-39	176
k101_585_flag=0_multi=160.2850_len=24241	ENA|CP000140|CP000140.1	93.220	118	6	2	9739	9855	1802967	1802851	2.93e-38	172
k101_585_flag=0_multi=160.2850_len=24241	ENA|CP000140|CP000140.1	91.667	108	7	2	9745	9850	1806226	1806119	4.93e-31	148
k101_204_flag=1_multi=150.6458_len=18492	ENA|FP929062|FP929062.1	87.826	460	54	2	7402	7860	2680829	2681287	1.91e-148	538
k101_234_flag=1_multi=71.7477_len=46282	ENA|CP008741|CP008741.1	89.727	477	49	0	21437	21913	4007497	4007973	1.00e-169	610
k101_234_flag=1_multi=71.7477_len=46282	ENA|CP008741|CP008741.1	91.597	119	9	1	44858	44976	388524	388407	3.37e-35	163
k101_234_flag=1_multi=71.7477_len=46282	ENA|CP008741|CP008741.1	91.597	119	9	1	44858	44976	695379	695262	3.37e-35	163
k101_234_flag=1_multi=71.7477_len=46282	ENA|CP008741|CP008741.1	91.597	119	9	1	44858	44976	2123652	2123769	3.37e-35	163
k101_234_flag=1_multi=71.7477_len=46282	ENA|CP008741|CP008741.1	91.597	119	9	1	44858	44976	2210505	2210622	3.37e-35	163
k101_234_flag=1_multi=71.7477_len=46282	ENA|CP008741|CP008741.1	91.597	119	9	1	44858	44976	2641606	2641723	3.37e-35	163
k101_234_flag=1_multi=71.7477_len=46282	ENA|CP008741|CP008741.1	91.597	119	9	1	44858	44976	4467195	4467078	3.37e-35	163
k101_234_flag=1_multi=71.7477_len=46282	ENA|CP008741|CP008741.1	86.179	123	15	2	44858	44980	4726949	4726829	9.49e-26	132
k101_633_flag=0_multi=62.8719_len=145447	ENA|FP929052|FP929052.1	78.406	2070	408	31	90199	92247	1828781	1826730	0.0	1310
k101_633_flag=0_multi=62.8719_len=145447	ENA|FP929052|FP929052.1	75.938	1039	240	9	30007	31040	1226445	1227478	1.17e-143	525
